post_title,post_slug,post_status,post_type,post_category,post_content,post_address,city,region,zip,country,post_latitude,post_longitude,geodir_contact_phone,geodir_email,geodir_website,geodir_practice_name,street,geodir_license_type,geodir_license_number,geodir_license_state,geodir_license_verified,geodir_specializations,geodir_insurance_accepted,geodir_sliding_scale,geodir_price_range_min,geodir_price_range_max,geodir_session_length,geodir_telehealth,geodir_telehealth_platform,geodir_accepting_new_patients,geodir_wait_time,geodir_languages,geodir_therapy_approaches,geodir_age_groups_served,geodir_gender,geodir_years_experience,geodir_education,geodir_profile_image_url,geodir_google_rating,geodir_google_review_count,geodir_last_verified_date,geodir_data_source,geodir_enrichment_status
DMV COUNSELING CONSULTING & COACHING,dmv-counseling-consulting-coaching-alexandria-va,publish,gd_place,Therapist,"DMV COUNSELING CONSULTING & COACHING in Alexandria, VA. Specializes in Anger Management, Anxiety, Child/Adolescent, Couples/Marriage, Depression. Telehealth available. Currently accepting new patients.","Braddock Rd, Alexandria, VA 22312",Alexandria,VA,22312,US,38.8192529,-77.1383539,(703) 865-2616,,http://dmvcounseling.com,,Braddock Rd,,,VA,,"Anger Management, Anxiety, Child/Adolescent, Couples/Marriage, Depression, PTSD/Trauma, Stress Management",,Unknown,,,,Yes - Video,,Yes,,"English, Spanish",,,,,ms in your life on your own and realized you need help from someone else?; MA  ](https://dmvcounseling.com/staff/deepa-e/); PhD Counseling Student and InternAccepting New ClientOnline CounselingEnglish,,,0,2026-02-18,outscraper,enriched_basic
Virginia Board of Psychology,virginia-board-of-psychology-richmond-va,publish,gd_place,Therapist,"Virginia Board of Psychology in Richmond, VA. Accepts Out-of-Network.","9960 Mayland Dr, Richmond, VA 23233",Richmond,VA,23233,US,37.63994,-77.5803894,(804) 367-4697,,https://www.dhp.virginia.gov/Boards/Psychology,,9960 Mayland Dr,,,VA,,,Out-of-Network,Unknown,,,,Unknown,,Unknown,,"English, Spanish, Tagalog",,,,,](https://www.dhp.virginia.gov/boards/psychology/practitionerresources/continuingeducation/); information](https://www.dhp.virginia.gov/media/dhpweb/img/homepage/slider/1000x600/con-ed-info-1000x600.png)](https://www.dhp.virginia.gov/boards/psychology/practitionerresources/continuingeducation/; ms targeting health care professionals,,1.7,0,2026-02-18,outscraper,enriched_full
LifeStance Therapists & Psychiatrists Virginia Beach,lifestance-therapists-psychiatrists-virginia-beach-virginia-beach-va,publish,gd_place,Therapist,"LifeStance Therapists & Psychiatrists Virginia Beach (MD/Psychiatrist) in Virginia Beach, VA. Specializes in ADHD, Addiction, Anger Management, Anxiety, Autism Spectrum. Accepts Kaiser Permanente. Telehealth available. Currently accepting new patients.","780 Lynnhaven Pkwy Suites 110 & 340, Virginia Beach, VA 23452",Virginia Beach,VA,23452,US,36.8154954,-76.065868,(757) 301-8747,,https://lifestance.com/location/virginia-beach-va-780-lynnhaven-parkway/%3Futm_source%3Dgmb%26utm_medium%3Dorganic%26utm_campaign%3Dlocations,,780 Lynnhaven Pkwy Suites 110 & 340,MD/Psychiatrist,,VA,,"ADHD, Addiction, Anger Management, Anxiety, Autism Spectrum, Bipolar Disorder, Child/Adolescent, Couples/Marriage, Depression, Eating Disorders, Family, OCD, PTSD/Trauma, Perinatal/Postpartum",Kaiser Permanente,Unknown,,,,Yes - Video,,Yes,,,"ACT, Motivational Interviewing, Solution-Focused",,,,"MS & More) ](https://lifestance.com/service-category/specialty-treatments/); ma Oregon Pennsylvania Rhode Island South Carolina Tennessee Texas Utah Virginia Washington Wisconsin; MA 
  * Michigan",,4.4,255,2026-02-18,outscraper,enriched_full
UVA Counseling & Psychological Services,uva-counseling-psychological-services-charlottesville-va,publish,gd_place,Therapist,"UVA Counseling & Psychological Services in Charlottesville, VA.","550 Brandon Ave, Charlottesville, VA 22903",Charlottesville,VA,22903,US,38.0301536,-78.50387429999999,(434) 243-5150,,http://studenthealth.virginia.edu/caps,,550 Brandon Ave,,,VA,,,,,,,,,,,,,,,,,,,2.3,6,2026-02-18,outscraper,cleaned
Northern Virginia Integrative Therapy Center,northern-virginia-integrative-therapy-center-leesburg-va,publish,gd_place,Therapist,"Northern Virginia Integrative Therapy Center in Leesburg, VA.","19415 Deerfield Ave, Leesburg, VA 20176",Leesburg,VA,20176,US,39.0794243,-77.4772866,(703) 729-0505,,,,19415 Deerfield Ave,,,VA,,,,,,,,,,,,,,,,,,,,0,2026-02-18,outscraper,cleaned
Jason French,jason-french-farmville-va,publish,gd_place,Therapist,"Jason French in Farmville, VA.","2720 Layne St, Farmville, VA 23901",Farmville,VA,23901,US,37.3164414,-78.4341891,(434) 391-4306,,https://www.counselingfarmville.com/about-us,,2720 Layne St,,,VA,,,,Unknown,,,,Unknown,,Unknown,,,,,,,,,5.0,1,2026-02-18,outscraper,enriched_basic
Start Today Counseling Interventions LLC,start-today-counseling-interventions-llc-north-chesterfield-va,publish,gd_place,Therapist,"Start Today Counseling Interventions LLC in North Chesterfield, VA. Specializes in Anxiety, Depression, Grief, Life Transitions, PTSD/Trauma. Accepts Out-of-Network.","619 Twinridge Ln, North Chesterfield, VA 23235",North Chesterfield,VA,23235,US,37.5001927,-77.5480881,(804) 251-1629,,https://www.starttodaycounselinginterventions.net,,619 Twinridge Ln,,,VA,,"Anxiety, Depression, Grief, Life Transitions, PTSD/Trauma, Stress Management",Out-of-Network,Unknown,,,,Unknown,,Unknown,,,"EMDR, Humanistic",,,,", or simply feeling better in your body, our coach will design a personalized plan that fits your lifestyle",,4.3,6,2026-02-18,outscraper,enriched_full
Restoring Peace Counseling Services,restoring-peace-counseling-services-lynchburg-va,publish,gd_place,Therapist,"Restoring Peace Counseling Services in Lynchburg, VA. Specializes in Anxiety, Child/Adolescent, Depression, PTSD/Trauma, Stress Management.","3311 Old Forest Rd Unit 101, Lynchburg, VA 24501",Lynchburg,VA,24501,US,37.4095164,-79.213724,(434) 363-4815,,http://restoringpeaceva.com,,3311 Old Forest Rd UNIT 101,,,VA,,"Anxiety, Child/Adolescent, Depression, PTSD/Trauma, Stress Management",,Unknown,,,,Unknown,,Unknown,,,,,,,,,5.0,6,2026-02-18,outscraper,enriched_basic
White Oak Counseling,white-oak-counseling-charlottesville-va,publish,gd_place,Therapist,"White Oak Counseling (PhD) in Charlottesville, VA. Specializes in Anxiety, Depression, Eating Disorders, Life Transitions, OCD. Currently accepting new patients.","103 S Pantops Dr # 203, Charlottesville, VA 22911",Charlottesville,VA,22911,US,38.031709,-78.4538218,(434) 394-0220,,http://counselingatwhiteoak.com,,103 S Pantops Dr # 203,PhD,,VA,,"Anxiety, Depression, Eating Disorders, Life Transitions, OCD, PTSD/Trauma, Stress Management",,Unknown,,,,Unknown,,Yes,,,,,,,"ms.
[Client Portal](http://www.therapyportal.com/p/whiteoak22901/)",,4.4,14,2026-02-18,outscraper,enriched_basic
"Replay Counseling Center, LLC",replay-counseling-center-llc-north-chesterfield-va,publish,gd_place,Therapist,"Replay Counseling Center, LLC in North Chesterfield, VA.","530 Southlake Blvd Unit A, North Chesterfield, VA 23236",North Chesterfield,VA,23236,US,37.4996516,-77.59857219999999,,,http://www.replaycounselingcenter.com,,530 Southlake Blvd UNIT A,,,VA,,,,Unknown,,,,Unknown,,Unknown,,,,,,,,,,0,2026-02-18,outscraper,enriched_basic
