post_title,post_slug,post_status,post_type,post_category,post_content,post_address,city,region,zip,country,post_latitude,post_longitude,geodir_contact_phone,geodir_email,geodir_website,geodir_practice_name,street,geodir_license_type,geodir_license_number,geodir_license_state,geodir_license_verified,geodir_specializations,geodir_insurance_accepted,geodir_sliding_scale,geodir_price_range_min,geodir_price_range_max,geodir_session_length,geodir_telehealth,geodir_telehealth_platform,geodir_accepting_new_patients,geodir_wait_time,geodir_languages,geodir_therapy_approaches,geodir_age_groups_served,geodir_gender,geodir_years_experience,geodir_education,geodir_profile_image_url,geodir_google_rating,geodir_google_review_count,geodir_last_verified_date,geodir_data_source,geodir_enrichment_status
Autism Society of Central Virginia,autism-society-of-central-virginia-richmond-va,publish,gd_place,Therapist,"Autism Society of Central Virginia in Richmond, VA. Specializes in Autism Spectrum, Child/Adolescent, Family, Grief. Accepts Horizon BCBS, Kaiser Permanente.","8730 Stony Point Pkwy Suite 150, Richmond, VA 23235",Richmond,VA,23235,US,37.5511276,-77.5645425,(804) 259-3188,,http://www.ascv.org,,8730 Stony Point Pkwy Suite 150,,,VA,,"Autism Spectrum, Child/Adolescent, Family, Grief","Horizon BCBS, Kaiser Permanente",Unknown,,,,Unknown,,Unknown,,,,,,,al webinars](https://ascv.org/resources/webinars/); al events near you. view calendar ](https://ascv.org/community-calendar/); al programs designed for individuals with autism across all ages and support needs — and families! learn more ](https://ascv.org/programming/),,4.6,11,2026-02-18,outscraper,enriched_full
Brooke Gasperini,brooke-gasperini-south-boston-va,publish,gd_place,Therapist,"Brooke Gasperini in South Boston, VA.","220 Paradise Ln, South Boston, VA 24592",South Boston,VA,24592,US,36.696586,-78.9006608,(434) 572-3200,,,,220 Paradise Ln,,,VA,,,,,,,,,,,,,,,,,,,,0,2026-02-18,outscraper,cleaned
Grace Petty,grace-petty-lynchburg-va,publish,gd_place,Therapist,"Grace Petty (PhD) in Lynchburg, VA.","808 Wiggington Rd Suite D, Lynchburg, VA 24502",Lynchburg,VA,24502,US,37.4161714,-79.2342335,(434) 385-0744,,,,808 Wiggington Rd suite d,PhD,,VA,,,,,,,,,,,,,,,,,,,,0,2026-02-18,outscraper,cleaned
Tri-Area Community Health Clinic at Laurel Fork,tri-area-community-health-clinic-at-laurel-fork-laurel-fork-va,publish,gd_place,Therapist,"Tri-Area Community Health Clinic at Laurel Fork in Laurel Fork, VA. Specializes in Anger Management, Family. Accepts Medicaid, Out-of-Network. Telehealth available.","14558 Danville Pike, Laurel Fork, VA 24352",Laurel Fork,VA,24352,US,36.7176704,-80.5083618,(276) 398-2292,,http://www.triareahealth.org,,14558 Danville Pike,,,VA,,"Anger Management, Family","Medicaid, Out-of-Network",Unknown,,,,Yes - Video,,Unknown,,,ACT,,,,"](https://www.triareahealth.org/health-education); ms (coughing; ms.
[Coronavirus (COVID-19) please follow this link to the Virginia Department of Health.](http://www.vd",,4.0,30,2026-02-18,outscraper,enriched_full
Hope and Healing Counseling,hope-and-healing-counseling-cheyenne-wy,publish,gd_place,Therapist,"Hope and Healing Counseling in Cheyenne, WY. Specializes in ADHD, Addiction, Anxiety, Autism Spectrum, Bipolar Disorder. Telehealth available.","1217 S Greeley Hwy B, Cheyenne, Wy 82007",Cheyenne,WY,82007,US,41.1062107,-104.7999841,(307) 202-4005,,https://www.hopeandhealingwyoming.com,,1217 S Greeley Hwy b,,,WY,,"ADHD, Addiction, Anxiety, Autism Spectrum, Bipolar Disorder, Child/Adolescent, Couples/Marriage, Depression, Eating Disorders, Family, PTSD/Trauma, Personality Disorders, Sleep Issues, Stress Management",,Unknown,,,,Yes - Video,,Unknown,,,"ACT, CBT, DBT, EMDR, IFS, Mindfulness-Based, Motivational Interviewing, Play Therapy",,,,"in mental health counseling; . i moved to wyoming three years ago and i love it. i am also blessed to have a blended family of 6 kids, three girls and three boys. plus our two cats and a dog! in our free time you are likely to fi; my Master of Science in Nursing from Gonzaga University in 2019",,3.0,2,2026-02-18,outscraper,enriched_basic
Christiansburg Comprehensive Treatment Center,christiansburg-comprehensive-treatment-center-christiansburg-va,publish,gd_place,Therapist,"Christiansburg Comprehensive Treatment Center in Christiansburg, VA. Specializes in Addiction, Anger Management. Accepts Out-of-Network.","2100 Roanoke St # 1, Christiansburg, VA 24073",Christiansburg,VA,24073,US,37.1358036,-80.3694225,(833) 522-0556,,https://www.ctcprograms.com/location/christiansburg-comprehensive-treatment-center/%3Futm_source%3DGMB%26utm_medium%3Dorganic%26utm_campaign%3Dlisting%26utm_term%3Dbrand%26y_source%3D1_MjI2NTE5MTMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,,2100 Roanoke St # 1,,,VA,,"Addiction, Anger Management",Out-of-Network,Unknown,,,,Unknown,,Unknown,,ASL,,,,,bs Available](https://www.acadiacareers.com/us/en/c/comprehensive-treatment-centers-jobs); bs & Careers Available](https://www.acadiacareers.com/us/en/c/comprehensive-treatment-centers-jobs); ma City CTC Tulsa CTC Albany CTC Belmont CTC Downtown Portland CTC East Portland CTC Hillsboro Mobile U,,4.7,20,2026-02-18,outscraper,enriched_full
UVA Department of Student Health and Wellness,uva-department-of-student-health-and-wellness-charlottesville-va,publish,gd_place,Therapist,"UVA Department of Student Health and Wellness in Charlottesville, VA. Specializes in Anger Management, Anxiety, Chronic Illness, PTSD/Trauma, Stress Management. Accepts Horizon BCBS. Currently accepting new patients.","550 Brandon Ave, Charlottesville, VA 22903",Charlottesville,VA,22903,US,38.0301536,-78.50387429999999,(434) 924-5362,,http://www.studenthealth.virginia.edu,,550 Brandon Ave,,,VA,,"Anger Management, Anxiety, Chronic Illness, PTSD/Trauma, Stress Management",Horizon BCBS,Unknown,,,,Unknown,,Yes,,,,,,,ms (mind you; ms were six months away; ma on individuals in our community. Our focus is to **Support** the health and **Well-being** of all UV,,4.1,0,2026-02-18,outscraper,enriched_full
McLean Psychiatry - Center for Wellness Ways (Psychiatrist Mclean Virginia),mclean-psychiatry-center-for-wellness-ways-psychiatrist-mclean-virginia-mclean-va,publish,gd_place,Therapist,"McLean Psychiatry - Center for Wellness Ways (Psychiatrist Mclean Virginia) (MD/Psychiatrist) in McLean, VA. Specializes in ADHD, Addiction, Anxiety, Bipolar Disorder, Child/Adolescent.","1340 Old Chain Bridge Rd #402, Mclean, VA 22101",McLean,VA,22101,US,38.938053,-77.176344,(571) 236-8516,,https://mcleanpsychiatry.com,,1340 Old Chain Bridge Rd #402,MD/Psychiatrist,,VA,,"ADHD, Addiction, Anxiety, Bipolar Disorder, Child/Adolescent, Depression, Eating Disorders, Grief, OCD, PTSD/Trauma, Perinatal/Postpartum, Sleep Issues, Stress Management",,Unknown,,,,Unknown,,Unknown,,,CBT,,,,"from howard university hospital and university of south florida. he has extensive experience treating children and adults, supervision of medical students and residents from georgetown university, geo; his postgraduate training from Howard University Hospital and University of South Florida. He has extensive experience treating children and adults, s; numerous accolades, awards and statements of appreciation from both the community and his patients. These are his most recent awards. You can also see",,4.7,28,2026-02-18,outscraper,enriched_basic
"Dr. Elliott J. Spanier, MD",dr-elliott-j-spanier-md-richmond-va,publish,gd_place,Therapist,"Dr. Elliott J. Spanier, MD (MD/Psychiatrist) in Richmond, VA.","1000 Boulders Pkwy, Richmond, VA 23225",Richmond,VA,23225,US,37.5107576,-77.5303234,(804) 320-7881,,,,1000 Boulders Pkwy,MD/Psychiatrist,,VA,,,,,,,,,,,,,,,,,,,4.7,10,2026-02-18,outscraper,cleaned
"C&C Psychiatry, LLC",cc-psychiatry-llc-fairfax-va,publish,gd_place,Therapist,"C&C Psychiatry, LLC (MD/Psychiatrist) in Fairfax, VA.","9940 Main St #101, Fairfax, VA 22031",Fairfax,VA,22031,US,38.844443,-77.288957,(703) 988-7883,,https://www.cncpsychiatry.com,,9940 Main St #101,MD/Psychiatrist,,VA,,,,Unknown,,,,Unknown,,Unknown,,Korean,,,,,,,5.0,21,2026-02-18,outscraper,enriched_basic
